id,text,label,product_id
1,This camera has amazing battery life and great picture quality,POSITIVE,prod-001
2,The phone overheats and the screen froze after two days,NEGATIVE,prod-002
3,Average sound quality, nothing special,NEUTRAL,prod-003
4,I love the compact design and speed,POSITIVE,prod-004
5,Terrible customer service, they never replied,NEGATIVE,prod-002
6,Good value for the price,POSITIVE,prod-001
7,Battery drains quickly, not happy,NEGATIVE,prod-001
8,Setup was easy, works as advertised,POSITIVE,prod-003
9,The product arrived damaged, very disappointed,NEGATIVE,prod-004
10,Decent performance but could be better,NEUTRAL,prod-003
11,Excellent features and fast shipping,POSITIVE,prod-005
12,Not worth the money, poor build quality,NEGATIVE,prod-005
13,Fine for occasional use,NEUTRAL,prod-006
14,I absolutely love this! Highly recommend.,POSITIVE,prod-006
15,The latest update caused bugs and crashes,NEGATIVE,prod-002
16,Stylish look and comfortable to hold,POSITIVE,prod-001
17,Sound is muffled and unclear,NEGATIVE,prod-003
18,Does what it says, pretty satisfied,POSITIVE,prod-004
19,Had high hopes but it's mediocre,NEUTRAL,prod-005
20,Fantastic battery and camera â€” best in class,POSITIVE,prod-001
